artist,size,title
Lee Blair,20.5 x 16.75 inches,"
        Sunbathing on the Rooftops, c. 1930s
      "
Ken Potter,22 x 30 inches,"
        San Francisco and the Golden Gate, 2006
      "
Millard Sheets,22 x 30 inches,"
        Diamond Head, Hawaii, c. 1950s
      "
Hardie Gramatky,9 x 11 inches,"
        Coutainville, France, 1976
      "
Millard Sheets,"18.25 x 22.25 inches, oil on canvas, signed lower right","
        Woods, 1928
      "
Hardie Gramatky,19.25 x 27 inches,"
        Holiday, (Westport), 1976
      "
Ken Potter,22 x 30 inches,"
        Morning Old St. Hilary's, 2000
      "
Art Riley,21.5 x 29 inches,"
        Pebble Beach Morning
      "
Millard Sheets,21.25 x 29.5 inches,"
        Statue of Liberty, New York Harbor, 1958
      "
James Green,14.75 x 21.75 inches,"
        Circus Elephants
      "
Rex Brandt,19.75 x 13.25 inches,"
        Orange County, 1968
      "
Sid Bingham,23.75 x 17.75 inches,"
        Milan, Italy
      "
Emil Kosa Jr.,"20 x 30 inches, oil on board, signed lower right","
        Lobos, Carmel, c. 1940s
      "
Frank J. Gavencky,"18 x 24 inches, oil on panel, signed lower right","
        Santa Fe Mailboxes
      "
Ken Potter,22 x 30 inches,"
        Grant & Washington, San Francisco, 1984
      "
Ken Potter,22 x 30 inches,"
        Alcatraz, 1979
      "
Hardie Gramatky,17.75 x 13.25 inches,"
        Revolt of Mother, 1948
      "
Roscoe Carver,14.5 x 20.5 inches,"
        Santa Cruz, c. 1930s
      "
Ken Potter,22 x 30 inches,"
        Monterey Pier, 1999
      "
Sid Bingham,20.75 x 28.75 inches,"
        Will Rogers State Beach, Late Summer
      "
Ken Potter,22 x 30 inches,"
        Hermosa Beach, 2000
      "
Frederic Whitaker,22 x 26 inches,"
        San Carlos Bay, c. 1950s
      "
Hardie Gramatky,20.5 x 27 inches,"
        Farm Visitors, (Westport), 1971
      "
Art Riley,21 x 27.5 inches,"
        San Pedro Harbor, 1962
      "
Lee Blair,14.5 x 20 inches,"
        Rakes Progress, c. 1930s
      "
Ralph Hulett,21.5 x 29.5 inches,"
        Morning in Alamos, c. 1940s
      "
Millard Sheets,"24 x 30 inches, oil on panel, signed lower right","
        L.A. River, 1927
      "
Hardie Gramatky,19 x 14 inches,"
        Refuge (Red Cross), 1937
      "
Emil Kosa Jr.,"25 x 29 inches, oil on canvas, signed lower left","
        Telegraph Hill, c. 1928
      "
Ken Potter,22 x 30 inches,"
        Balboa Bay, 2005
      "
Hardie Gramatky,12.5 x 18.5 inches,"
        Dogwood in the Park, (Westport), 1966
      "
Ken Potter,22 x 30 inches,"
        Zurich & Limmat from Quaibrucke, Switzerland, 1993
      "
Carolyn Lord,15 x 22 inches,"
        Cool Blue Porch, 1983
      "
Carolyn Lord,22 x 30 inches,"
        Wrigley Garden, 2008
      "
Hardie Gramatky,12 x 20.25 inches,"
        Serious Talk, 1936
      "
Hardie Gramatky,20.5 x 28.25 inches,"
        Country Road, (Westport), c. 1950s
      "
Ken Potter,22 x 30 inches,"
        Lake Tahoe from Tahoe City, 1987
      "
Phil Dike,10.5 x 14 inches,"
        Trading Post, San Carlos, AZ, c. 1933
      "
Ken Potter,22 x 30 inches,"
        Booth Building & U.S. Hotel, 2006
      "
Hardie Gramatky,18.5 x 26.75 inches,"
        Old Mill Pond, (Westport), 1976
      "
Hardie Gramatky,15.75 x 11.25 inches,"
        Life of Miss Churt, 1936
      "
Oscar Van Young,"30 x 36 inches, oil on board, signed lower right","
        Three Blocks from Skid Row, 1942
      "
Phil Dike,11 x 15 inches,"
        Afternoon Splendor, Newport Harbor, 1947
      "
Hardie Gramatky,19 x 25.25 inches,"
        House at Old Mill, (Westport), 1974
      "
Carolyn Lord,15 x 22 inches,"
        September Skies in Ryde, 1990
      "
Ken Potter,30 x 21.75 inches,"
        Indian River Palms, 1987
      "
Ken Potter,30 x 22 inches,"
        Balboa Pavilion, 1986
      "
Millard Sheets,21.75 x 29.75 inches,"
        Old Pines at Haven's Neck, 1962
      "
Robert Landry,18 x 24 inches,"
        Back Bay Ride, c. 1951
      "
Charles Payzant,17.75 x 23.75 inches,"
        Pepper Tree Ranch
      "
Frank J. Gavencky,"24 x 30 inches, oil on panel, signed lower right","
        Desert Village, Santa Fe
      "
Frederic Whitaker,30 x 21 inches,"
        La Tienda
      "
Robert E. Wood,25.75 x 39.75 inches,"
        Tropical Light
      "
Ken Potter,22 x 30 inches,"
        Santa Monica Pier, 2005
      "
Hardie Gramatky,11.75 x 21 inches,"
        Golden Glow, (Westport), 1967
      "
Ken Potter,17.5 x 23.25 inches,"
        Death of the Produce District, 1962
      "
Ken Potter,22 x 30 inches,"
        Studio Theatre, 1990
      "
Don David,16.25 x 21.5 inches,"
        Harbor Fishing
      "
Millard Sheets,22 x 30 inches,"
        Ireland Countryside, 1968
      "
Ken Potter,22 x 30 inches,"
        Double Diner, 1990
      "
Steve Santmyer,21.5 x 29 inches,"
        Rincon Chapel
      "
Ken Potter,30 x 22 inches,"
        St. Francis Church Sacramento
      "
Emil Kosa Jr.,"24 x 36 inches, oil on board, signed lower right","
        Boat Harbor, Fort Bragg, c. 1940s
      "
Carolyn Lord,15 x 22 inches,"
        A View of Elko, 1981
      "
Leon Amyx,Original Size  14 x 22 inches,"
        Old Natividad Store, 1940
      "
Jake Lee,14 x 22 inches,"
        Boat Station #4, 1939
      "
Frank M. Hamilton,16.5 x 27 inches,"
        Salt Creek, 1959
      "
Barse Miller,18 x 22 inches,"
        Tall Cool One, 1935
      "
Charles Payzant,14.5 x 21.5 inches,"
        Two Horse Town, c. 1939
      "
Harper Goff,11 x 15 inches,"
        The Farm, 1932
      "
Frank LaLumia,21 x 29 inches,"
        A Wedding in Old Mexico
      "
Jake Lee,14.25 x 21.5 inches,"
        Laundry on the Street, S.F., c. 1938
      "
Emil Kosa Jr.,14.25 x 21.25 inches,"
        California Homestead, c. 1930s
      "
Hardie Gramatky,12 x 13.25 inches,"
        Clothesline, 1945
      "
Millard Sheets,15.5 x 23 inches,"
        Homesick Boys, 1941
      "
Ken Potter,22 x 30 inches,"
        Studio Theatre, San Jose, 1990
      "
Chris Oldham,18 x 28.5 inches,"
        Always a Railroad Town
      "
Ken Potter,22 x 30 inches,"
        Fraumunsterbrucke at Night, 2010
      "
Ken Potter,22 x 30 inches,"
        Saillon and the Valley Rhone, Switzerland, 1993
      "
Millard Sheets,22 x 30 inches,"
        Chicago Skyline from Shedd Aquarium, 1955
      "
Tom Van Sant,21 x 28.5 inches,"
        After the Catch, Mexico
      "
Gordon Grant,11.25 x 15 inches,"
        Lobster Buoys
      "
Art Riley,22 x 29.5 inches,"
        Del Norte Woodsman
      "
Ken Potter,24 x 18 inhes,"
        Ceylon Street, 1962
      "
Tom Craig,15 x 22 inches,"
        Looking Into Pope Valley, c. 1938
      "
Norman Stiles Chamberlain,17.5 x 21.5 inches,"
        Apples and Milk Pitcher Still Life, c. 1945
      "
Virginia Tonetti,13.75 x 19.5 inches,"
        Angels Camp
      "
Art Riley,22 x 30 inches,"
        Thatching the House
      "
John Bohnenberger,21.5 x 29.5 inches,"
        The Ol' Compressor
      "
Ken Potter,22 x 30 inches,"
        Apple Orchard in the Snow, 1966
      "
Hardie Gramatky,15.25 x 19 inches,"
        Cornstalks and Pumpkins, 1952
      "
Rex Brandt,13.25 x 20.25 inches,"
        Early Birds, 1971
      "
Carolyn Lord,15 x 22 inches,"
        Aqua Bungalow and Palms, 1984
      "
John Bohnenberger,21 x 27.5 inches,"
        All Saints Church in Pasadena, CA
      "
John Bohnenberger,21.5 x 29.5 inches,"
        Monterey Park Fire Engine
      "
Ken Potter,22 x 30 inches,"
        Folsom Depot, 1997
      "
"Harold ""Hal"" Lanfair",13.75 x 20.5 inches,"
        At the Dock, c. 1930s
      "
Hardie Gramatky,14 x 20 inches,"
        Turkey Hill Sleigh Ride, (Westport), c. 1955
      "
Loren Barton,21.25 x 30 inches,"
        Barn with Chickens, c. 1930s
      "
Ken Potter,22 x 30 inches,"
        Fishermen of Ravenna, Italy, 1952
      "
Art Riley,22.5 x 30 inches,"
        Madonna del Carmine, c. 1940s
      "
Hardie Gramatky,20 x 27 inches,"
        Martinique Harbor, 1978
      "
Phil Paradise,7.5 x 11 inches,"
        San Miguel de Allende, Conversation, 1953
      "
Millard Sheets,15 x 21 inches,"
        Yellow Tree, c. 1940s
      "
Jack Laycox,21.25 x 29.5 inches,"
        Park Avenue, N.Y.
      "
Charles Keck,18 x 12.5 inches,"
        Gossip Corner, c. 1940s
      "
Duval Eliot,30.25 x 22.5 inches,"
        Waiting at the Station, 1938
      "
Frederick Schwankovsky,14 x 19 inches,"
        Autumn Leaves
      "
Sid Bingham,21 x 28.75 inches,"
        Augustus Bridge
      "
Edmond James Fitzgerald,19 x 27.25 inches,"
        Beach Head Established, 1944
      "
Milford Zornes,14.75 x 21.5 inches,"
        The Sea at Cabo San Jose, Mexico, 1976
      "
James Hollins Patrick,15 x 22 inches,"
        Calimesa Orchard, 17th Street, c. 1930s
      "
Art Riley,22 x 30 inches,"
        A View from the Bluff
      "
Ken Potter,22 x 29.5 inches,"
        Balboa Island Ferry
      "
Steve Santmyer,21.5 x 29.5 inches,"
        Fishing Buddies
      "
Ken Goldman,30 x 22 inches,"
        Cowboy on Stilts at the Del Mar Fair
      "
James Grant,13.25 x 21 inches,"
        Afternoon at the Zoo, c. 1950
      "
Phil Dike,"23.5 x 47.75 inches, oil on board, signed lower right","
        Chino Hills, c. 1940s
      "
Ken Goldman,19.75 x 12.5 inches,"
        Balboa Park
      "
Hardie Gramatky,19 x 27 inches,"
        The Farther Shore, (Westport), 1956
      "
Arthur Beaumont,10 x 14.25 inches,"
        Venetian harbor, 1935
      "
Hubert Buel,14 x 20.5 inches,"
        Ballyloran House, c. 1960s
      "
Frederick Penney,13 x 10 inches,"
        Ballerinas
      "
Sid Bingham,21 x 28.5 inches,"
        Mixing
      "
Frederic Whitaker,21.5 x 24 inches,"
        Ducal Residence
      "
Arthur Beaumont,19.5 x 27.5 inches,"
        The Golden Junk - The Yangtse, China, 1962
      "
Ken Potter,24 x 18 inches,"
        French Hospital Court, 1962
      "
Ken Potter,22 x 30 inches,"
        Bay from Russian Hill, 2004
      "
Ken Potter,30 x 22 inches,"
        Bay Bridge from Rincon Hill, 1990
      "
Robert E. Wood,22.25 x 29 inches,"
        Baltimore Model
      "
Jake Lee,14 x 21 inches,"
        San Pedro Harbor
      "
Ken Potter,22 x 30 inches,"
        USA Petrochem, 2006
      "
Ken Goldman,15 x 22.75 inches,"
        Borrego Desert Dusk
      "
Vic de Beck,14 x 21 inches,"
        Big Sur California
      "
Standish Backus Jr.,15 x 22 inches,"
        ULC Lumber Mill, c. 1940s
      "
Hugh Duncan,15 x 22 inches,"
        Belmont Shores
      "
Steve Santmyer,21 x 29.25 inches,"
        181 Baja
      "
Ken Potter,30 x 22 inches,"
        Ross Alley, Chinatown, San Francisco, 1990
      "
Jade Fon,21.5 x 28.75 inches,"
        Benicia Fishing Shacks
      "
Tom Van Sant,22 x 29.5 inches,"
        Backyard Pets at Play
      "
Ken Goldman,22 x 30 inches,"
        My Figure Drawing Class
      "
Hardie Gramatky,21.75 x 17 inches,"
        Afternoon Walk, (Westport), c. 1950s
      "
Ken Goldman,22.75 x 15.75 inches,"
        La Jolla Shores Eucalyptus
      "
Sid Bingham,20.5 x 28.5 inches,"
        Blue Scarf
      "
Millard Sheets,22 x 30 inches,"
        Strangers in the Park, New York Central Park, 1983
      "
Robert Perine,18 x 16.75 inches,"
        Bird Rock, Corona del Mar, c. 1958
      "
John Bohnenberger,21.5 x 29.5 inches,"
        Steel Locomotive, Griffith Park, L.A.
      "
Frank Eber,12 x 20.5 inches,"
        As the Day Ends
      "
Jack Laycox,29.25 x 22 inches,"
        Union Square
      "
Ken Goldman,8 x 11 inches,"
        Morning Preparations in AU 2
      "
Ken Potter,22 x 30 inches,"
        The Bridge from Rincon Hill, 1990
      "
John Norman Stewart,20.5 x 28.25 inches,"
        Aliso Beach, Laguna Beach
      "
Joseph Raphael,19.5 x 25 inches,"
        Rue England, c. 1920s
      "
Carolyn Lord,15 x 22 inches,"
        Blue Boxes, 2003
      "
John Bohnenberger,21.5 x 29.5 inches,"
        Cattle Drive
      "
Ken Potter,19.25 x 25 inches,"
        Boats, Cabo Frio, Brazil, 1954
      "
Millard Sheets,16.75 x 21.75 inches,"
        Starlight Night, Chicago, 1951
      "
Dorothea Cooke (Gramatky),16.5 x 14 inches,"
        About to Leave, 1936
      "
Jake Lee,14.5 x 21.5 inches,"
        Boats for Rent
      "
Sid Bingham,13.75 x 20.75 inches,"
        Behind Malibu
      "
Alfred Owles,12.5 x 20.5 inches,"
        Abandoned
      "
John Bohnenberger,21.5 x 29.5 inches,"
        Al
      "
Ken Potter,22 x 30 inches,"
        Legal Tender, 1996
      "
Dwight Strong,22 x 30 inches,"
        Boats on the Beach, 1991
      "
Steve Santmyer,"30 x 24 inches, oil on canvas, signed lower left","
        Bonnie C.
      "
Ken Potter,22 x 30 inches,"
        San Rafael Ferry, 1978
      "
Frank Eber,12.75 x 21.25 inches,"
        As it Once Was
      "
Daniel Mendelowitz,20.25 x 27.75 inches,"
        Boys at the Beach, 1955
      "
Ken Potter,24 x 18 inches,"
        Cement Pouring, 1963
      "
Charles Keck,15 x 22 inches,"
        Gravel Works, 1940
      "
Tom Van Sant,22 x 29.5 inches,"
        Brewing Storm, Mexico, 1955
      "
Ken Goldman,15 x 23 inches,"
        Del Mar Dawn
      "
Edward Reep,22 x 30 inches,"
        Buenos Aires Night, 1956
      "
Carolyn Lord,15 x 22 inches,"
        Bungalow Spring, 1984
      "
David Blower,14 x 17 inches,"
        Bunker Hill House, c. 1940s
      "
Charles Keck,14.5 x 22.5 inches,"
        Bunker Hill, c. 1940s
      "
Dan Lutz,22 x 28 inches,"
        Bunker Hill, c. 1940s
      "
Jake Lee,8 x 10 inches,"
        Bunker Hill, Los Angeles
      "
Ken Decker,11 x 15 inches,"
        Cabin by the Creek
      "
Joseph Knowles,22 x 30 inches,"
        Cabins by the Lake, 1955
      "
Tom Craig,15 x 22 inches,"
        Central California
      "
Jo Rebert,18.75 x 23 inches,"
        Cable Car
      "
Art Riley,21 x 28.75 inches,"
        California Coast
      "
Noel Quinn,18.5 x 26 inches,"
        California Harbor Scene, 1954
      "
Gordon Grant,15 x 22 inches,"
        Sunday in Dock
      "
George Gibson,22 x 30 inches,"
        Santa Prisca Afternoon, 1980
      "
Charles Payzant,22 x 30 inches,"
        Canadian Harbor, Quebec, 1927
      "
Wayne La Com,13.5 x 21.5 inches,"
        Canoe Beach
      "
John Bohnenberger,21.5 x 29.5 inches,"
        Canyon Trail
      "
Jake Lee,12 x 19.5 inches,"
        Abandoned
      "
John Norman Stewart,17.5 x 28 inches,"
        Carmel
      "
Steve Santmyer,20.25 x 28 inches,"
        Cambria Tractor
      "
Art Riley,22 x 30 inches,"
        Carmel in the Evening
      "
Vic de Beck,14 x 21 inches,"
        Carmel Mission
      "
Ken Potter,30 x 22 inches,"
        Carmel Mission, 1999
      "
Art Riley,22 x 30 inches,"
        Carmel Thatch House
      "
Joan Irving (Brandt),13 x 20.5 inches,"
        Bolman Bay
      "
Hugh Duncan,15 x 22 inches,"
        Cars
      "
David Solomon,22 x 28.25 inches,"
        Casa Blanca
      "
David Solomon,8 x 10 inches,"
        Casa Laguna Inn
      "
David Solomon,14 x 17.75 inches,"
        Aliso Creek, Laguna Beach
      "
Art Riley,29.5 x 30 inches,"
        Central California
      "
Art Riley,21.5 x 29 inches,"
        Centrella Hotel
      "
Hugh Duncan,15 x 22 inches,"
        Winter in Bodie
      "
Wayne La Com,18 x 24 inches,"
        Almost Forgotten
      "
Joseph Weisman,14 x 10.5 inches,"
        Chavez Ravine, Fall, 1933
      "
Sid Bingham,13.75 x 20 inches,"
        Chef 2
      "
Franz Bergmann,14.25 x 18.75 inches,"
        Chercher la Femme
      "
Tom Van Sant,20.5 x 26.5 inches,"
        Afternoon Siesta, Mendocino, CA
      "
Milford Zornes,10.5 x 28.5 inches,"
        Boats at Rest, 2001
      "
Ken Potter,22 x 30 inches,"
        Chief Gadao, 2004
      "
Vic de Beck,14.5 x 21.5 inches,"
        China Camp Marin
      "
Harold Gretzner,21.5 x 30 inches,"
        Chinatown
      "
Harold Gretzner,18 x 24 inches,"
        Chinatown Street Corner
      "
Ken Potter,24 x 18 inches,"
        Chop Suey, 1963
      "
Stanley Long,17.75 x 25.5 inches,"
        Navajo Riders
      "
Stanley Long,16.75 x 23.75 inches,"
        Vaqueros
      "
Ben Messick,11.75 x 11.5 inches,"
        A Clown and His Bird
      "
Tom Van Sant,21.5 x 30 inches,"
        Coastal Mountain Vineyards, California, 1953
      "
James March Phillips,17.75 x 23.75 inches,"
        Coastal Trees
      "
Steve Santmyer,13 x 20 inches,"
        Coca Cola
      "
Steve Santmyer,16.5 x 25.75 inches,"
        Colegrade
      "
Carolyn Lord,15 x 22 inches,"
        Collier Canyon Ravine, 1991
      "
Chris Oldham,13.25 x 19.75 inches,"
        Coming Into Hillsboro
      "
Phil Dike,18 x 24 inches,"
        Birds in Flight
      "
Sid Bingham,12.75 x 29.25 inches,"
        Antarctica
      "
Hardie Gramatky,12 x 16.25 inches,"
        Schlaet Point, (Westport), 1948
      "
Vic de Beck,14.5 x 21.75 inches,"
        Competition
      "
Ken Potter,22 x 30 inches,"
        Cornish Victorian, 1992
      "
Charles Payzant,14.5 x 22 inches,"
        Corral, c. 1939
      "
Dwight Strong,19.5 x 25.25 inches,"
        Country Road, 1996
      "
Charles Payzant,13.5 x 21.75 inches,"
        Country Road, c. 1939
      "
Sid Bingham,13.75 x 20 inches,"
        Checking the Vintage
      "
Carolyn Lord,15 x 22 inches,"
        Courtesy Notice, 2005
      "
Jake Lee,13.75 x 20.5 inches,"
        Cranking it Over
      "
Milford Zornes,21.75 x 29.5 inches,"
        Creek in Vermont, 1975
      "
Max Wieczorek,26 x 19 inches,"
        Girl in Mantilla, 1919
      "
Vic de Beck,17.5 x 23.25 inches,"
        Cross Country Skiing
      "
Ken Goldman,11 x 8 inches,"
        Cruise Ship Dining Room
      "
Steve Santmyer,20 x 30 inches,"
        Crystal Cove
      "
Dwight Strong,22 x 30 inches,"
        Daises and Apples, 1994
      "
Steve Santmyer,15 x 22 inches,"
        Dana Pride
      "
Milford Zornes,21.25 x 28 inches,"
        Dance in the Park, 2002
      "
Sid Bingham,17.75 x 23.25 inches,"
        Break Time, Michael in Blue Chair
      "
Ken Goldman,22.25 x 21.75 inches,"
        Day After Day
      "
Art Riley,20 x 28 inches,"
        Deer in Forest (Carmel, CA)
      "
Betsy Dillard Stroud,30 x 22 inches,"
        Delilah Thinking of Matisse
      "
Ken Potter,17.75 x 23.5 inches,"
        Demolition of the Produce District, 1961
      "
Sid Bingham,19.5 x 26.5 inches,"
        Descanso Gardens
      "
Art Riley,21 x 29.5 inches,"
        Desert Golf Course
      "
David Solomon,22 x 29.5 inches,"
        Desert Hilltop
      "
Jake Lee,12.5 x 21.25 inches,"
        Desert Landscape, c. 1938
      "
Art Riley,22.25 x 30 inches,"
        Building the Bridge, 1962
      "
Robert E. Wood,21.5 x 29 inches,"
        Diane II, 1979
      "
Ken Potter,18.75 x 23.25 inches,"
        Dieppe Harbor, France, 1950
      "
Burr Singer,26.5 x 20 inches,"
        Doorway
      "
Raymond Cuevas,20.5 x 12.5 inches,"
        Doorway to Ruin, 1957
      "
Betsy Dillard Stroud,22 x 30 inches,"
        Lady in Red
      "
Millard Sheets,10.5 x 14.5 inches,"
        Dragon Bridge, Hangchow, 1989
      "
Wayne La Com,14.25 x 21.5 inches,"
        Drakes Bay
      "
Jake Lee,14.75 x 21.25 inches,"
        Drydock
      "
Paul Sample,11 x 15 inches,"
        Drydock
      "
James Green,25.25 x 40.25 inches,"
        Drydock Work
      "
Frederic Whitaker,22 x 29.5 inches,"
        Drydock, July, 1952
      "
Tom Van Sant,22 x 30 inches,"
        Drying Nets, Janitzio
      "
Sid Bingham,19 x 26.25 inches,"
        Early Sunday Morning on the Kern
      "
Ken Potter,22 x 30 inches,"
        From South of Market, 1979
      "
David Solomon,22 x 28.75 inches,"
        East L.A.
      "
David Solomon,22 x 29 inches,"
        Eastern Turf
      "
Ken Goldman,7.5 x 10.75 inches,"
        El Cuco, El Salvador
      "
Ken Goldman,7.5 x 10.5 inches,"
        El Salvador Street Scene
      "
Ken Decker,11 x 15 inches,"
        End of the Fence
      "
Wayne La Com,14.5 x 21.5 inches,"
        Entrance to Soledad
      "
Ken Goldman,22.25 x 15 inches,"
        Erica
      "
Betsy Dillard Stroud,22.25 x 30 inches,"
        Etude in Grays
      "
Ken Potter,21.5 x 29.5 inches,"
        Eucalyptus, West Marin Horses, 1965
      "
Steve Santmyer,22 x 30 inches,"
        Chicken Coop
      "
