artist,size,title
Robert E. Wood,13.25 x 19.75 inches,"
        Slow Men Working, 1963
      "
John Bohnenberger,20.5 x 28.5 inches,"
        Empty Masts
      "
Robert E. Wood,13.25 x 19.5 inches,"
        Northwest Mood, 1964
      "
John Bohnenberger,21 x 28.75 inches,"
        Stepping Stones
      "
Robert E. Wood,19.5 x 13.25 inches,"
        Net Dory's, 1965
      "
Steve Santmyer,21.5 x 14.75 inches,"
        Zihuatanejo, Guerrero, Mexico
      "
Steve Santmyer,14.75 x 21.5 inches,"
        McCanless Ranch, South Kona, Hawaii
      "
Ken Goldman,15 x 18 inches,"
        East on Orchard Street
      "
Ken Goldman,23 x 15.5 inches,"
        Swirling Cypress
      "
John Bohnenberger,21 x 27.75 inches,"
        St. Stephen Serbian Orthodox Church, Monterey Park, CA
      "
John Bohnenberger,21 x 28.75 inches,"
        Brand Library and Art Center, Glendale, CA
      "
Art Riley,22 x 30 inches,"
        Desertscape
      "
Nat Levy,16 x 22 inches,"
        Pigeon Point Lighthouse
      "
Ritchie A. Benson,22 x 32 inches,"
        North Star with Friends
      "
Frederic Whitaker,16 x 21.75 inches,"
        Rain, Tobacco Barns
      "
Leon Amyx,Original Size  14 x 22 inches,"
        Old Wooden Bridge, c. 1930s
      "
Leon Amyx,Original Size  14.25 x 22.5 inches,"
        Shocked Hay in Boranda, 1940
      "
Hardie Gramatky,14 x 26.5 inches,"
        With a Spanner and a Prayer, c. 1950s
      "
Leon Amyx,Original Size  14.25 x 22.5 inches,"
        Abandoned Auto, c. 1950
      "
Leon Amyx,Original Size  14.75 x 21 inches,"
        Tank House and Windmill, 1939
      "
Leon Amyx,Original Size  14.25 x 21.75 inches,"
        Left on Rossi Road, Salinas, 1942
      "
Leon Amyx,Original Size  16.75 x 21 inches,"
        Castroville Church, 1949
      "
Leon Amyx,Original Size  14.5 x 21.75 inches,"
        Street in Castroville, 1945
      "
Leon Amyx,Original Size  14.25 x 21.25 inches,"
        Drive Down Oakland Hills, 1937
      "
Millard Sheets,22 x 30 inches,"
        Olvera Street, 1951
      "
Leon Amyx,Original Size  18.5 x 23.25 inches,"
        Bill Leaches Barn, 1954
      "
Millard Sheets,28.25 x 36.75 inches,"
        Horses by the Bay, 1969
      "
Leon Amyx,Original Size  21.5 x 28.75 inches,"
        Man Carrying Stakes, c. 1942
      "
Marion Wachtel,19.5 x 29.5 inches,"
        Desert Gold, c. 1920s
      "
Sid Bingham,22 x 30.5 inches,"
        Sycamore Cove, CA
      "
Ken Potter,22 x 30 inches,"
        Saillon, Switzerland, 1994
      "
Lee Blair,16.25 x 20.75 inches,"
        Trolley Stop, c. 1930s
      "
Millard Sheets,22 x 30 inches,"
        Boat Landing, Puerto Vallarta, 1970
      "
Sid Bingham,22 x 30.5 inches,"
        Laguna Beach, CA
      "
Barse Miller,20.5 x 24.75 inches,"
        Gladding McBean Pottery Factory, 1935
      "
Sid Bingham,22 x 30.5 inches,"
        Lamu Island, Kenya
      "
Ralph Hulett,21.75 x 28.75 inches,"
        Back Street Taxco
      "
Donald Teague,16 x 20 inches,"
        A Spring Morning on the Smith Hereford Ranch
      "
Daniel Mendelowitz,20 x 28 inches,"
        Boats at Rest, 1939
      "
Millard Sheets,22 x 30 inches,"
        Isthmus, Anchorage, 1965
      "
Sid Bingham,30.25 x 22 inches,"
        Flight Into Amsterdam
      "
Ralph Hulett,21 x 29.5 inches,"
        Beach at Puerto Vallarta
      "
Hardie Gramatky,20.5 x 27 inches,"
        Babe's Lobsters, 1951
      "
Sid Bingham,16 x 12 inches,"
        Street on Lamu Island, Kenya
      "
Hardie Gramatky,17 x 23 inches,"
        Industrial Scene, c. 1930s
      "
Tom Fong,21 x 29.25 inches,"
        Coastal Docks
      "
Phil Dike,14.5 x 22.5 inches,"
        Playground, Temple Street School, Los Angeles, 1932
      "
James Hollins Patrick,14.5 x 21.75 inches,"
        Approaching Storm, 1938
      "
Tom Fong,21 x 29 inches,"
        The California Coast
      "
Millard Sheets,21.25 x 30 inches,"
        Noon, Chapala, Mexico, 1979
      "
Tom Fong,21.75 x 29.25 inches,"
        Flower Bouquet
      "
Emil Kosa Jr.,22 x 30 inches,"
        Country Home, c. 1941
      "
Tom Fong,21.5 x 29.25 inches,"
        Winter Landscape
      "
Millard Sheets,22 x 30 inches,"
        Brahma Bulls, 1943
      "
Millard Sheets,22 x 30 inches,"
        Sun Valley Skiers, c. 1950s
      "
Barse Miller,14.5 x 20.25 inches,"
        V-Mail Operations, Cutting Prints, 1942
      "
Millard Sheets,22 x 30 inches,"
        Frigate Birds, Cabo San Lucas, 1975
      "
Tom Fong,21.5 x 28.5 inches,"
        Beachside Pier
      "
Barse Miller,14 x 21.75 inches,"
        V-Mail Operations, Airgraph Department V, 1942
      "
Millard Sheets,22 x 30 inches,"
        Washer Women, 1978
      "
Tom Fong,21 x 28.75 inches,"
        Farm Country
      "
Millard Sheets,22.5 x 30 inches,"
        Two Women Walking, 1943
      "
Bud Shackelford,Original Size -20.75 x 29.5 inches,"
        Sail 7
      "
Tom Fong,20.75 x 29 inches,"
        Coit Tower, San Francisco
      "
James Hollins Patrick,14.25 x 22.25 inches,"
        Spring Cleaning, 1937
      "
Betsy Dillard Stroud,30 x 22 inches,"
        Musing about Matisse
      "
Hardie Gramatky,14.5 x 20.75 inches,"
        Hickman Levee Workers, 1937
      "
Betsy Dillard Stroud,30 x 22 inches,"
        Studio Mysteries
      "
Betsy Dillard Stroud,22 x 30 inches,"
        Monument to a Moment
      "
Tom Fong,21.5 x 29.75 inches,"
        Dockside
      "
Betsy Dillard Stroud,22 x 30 inches,"
        Schehrezade's Secret Garden Series
      "
Tom Fong,20.5 x 28.5 inches,"
        Pierside
      "
James March Phillips,11 x 22 inches,"
        Impressions from Potrero Hill, San Francisco
      "
Miri Weible,22 x 30 inches,"
        Swamp Creek Canyon
      "
Tom Fong,21.5 x 28.5 inches,"
        The Lighthouse
      "
Miri Weible,22 x 30 inches,"
        Sedona Hills Remuda
      "
John Bohnenberger,20.75 x 28.5 inches,"
        Pagoda
      "
Miri Weible,30 x 22 inches,"
        Last Light, Taylor Creek, UT
      "
Millard Sheets,15.5 x 18.5 inches,"
        Gaviota Range, 1932
      "
James Hollins Patrick,15 x 22 inches,"
        Abandoned, 1938
      "
Tom Fong,21 x 29.5 inches,"
        Lakeside
      "
Millard Sheets,22 x 30 inches,"
        Rice Field and Mist over Itami Island, Japan, 1955
      "
Millard Sheets,28.5 x 36 inches,"
        Mysterious Islands, 1964
      "
Rex Brandt,18.75 x 24.75 inches,"
        Turn Point Light, 1986
      "
Hardie Gramatky,11 x 14 inches,"
        Bellevue, 1946
      "
Emil Kosa Jr.,22 x 29.75 inches,"
        San Francisco Quadra, 1943
      "
Emil Kosa Jr.,22 x 30 inches,"
        Mountain Lake, c. 1930s
      "
Ralph Hulett,21 x 28.75 inches,"
        Turkey Farm, 1947
      "
Gunnar Widforss,15.5 x 12.75 inches,"
        Winter Wonderland, 1921
      "
Ed Kelly,14.25 x 21.5 inches,"
        Ocean Wave Spray
      "
James Hollins Patrick,15 x 22.5 inches,"
        Weapons of War, 1942
      "
Watson Cross Jr.,14 x 20 inches,"
        Drydock, 1940
      "
Emil Kosa Jr.,16.5 x 20 inches,"
        Oil, 1939
      "
Sid Bingham,21.5 x 29.25 inches,"
        Indians Salmon Fishing, Columbia River
      "
Rex Brandt,11 x 18.25 inches,"
        Bear Grotto in F Canyon at the Zoo in San Diego, 1953
      "
Phil Dike,18.5 x 23 inches,"
        Moment of Simplicity, 1955
      "
John Bohnenberger,20.75 x 29 inches,"
        Giraffes
      "
Millard Sheets,14.75 x 21.75 inches,"
        Mexican Church, 1931
      "
Hardie Gramatky,16 x 21 inches,"
        Mykonos, Greece, 1962
      "
Millard Sheets,23 x 15.5 inches,"
        Evening Barracks, 1941
      "
Steve Santmyer,"24 x 36 inches, oil on canvas, signed lower left","
        Fisherman's Cove, Laguna Beach
      "
Barse Miller,15.75 x 22.5 inches,"
        Northern California Mill, 1946
      "
John Bohnenberger,20.75 x 28.75 inches,"
        House of Old Memories, (Halloween House)
      "
Emil Kosa Jr.,14.5 x 21.5 inches,"
        Farm Scene, c. 1942
      "
Tom Fong,21.5 x 29.5 inches,"
        Coffee Shop
      "
Emil Kosa Jr.,17 x 11 inches,"
        Boat Haven, 1932
      "
John Bohnenberger,20.5 x 28.5 inches,"
        Pasadena City Hall Fountain
      "
Noel Quinn,21 x 28 inches,"
        City Hall, Los Angeles, 1943
      "
Tom Fong,21 x 28.75 inches,"
        Yosemite Barn
      "
Hardie Gramatky,10.5 x 10.5 inches,"
        Andreas Canyon Trip, 1930
      "
Phil Dike,10.75 x 14.5 inches,"
        The Window, 1948
      "
Hardie Gramatky,13.75 x 12.25 inches,"
        At the Stable, 1938
      "
Hardie Gramatky,11.5 x 17 inches,"
        Log Rolling, 1945
      "
Ken Potter,22 x 30 inches,"
        Emerald Bay Island, 1987
      "
Hardie Gramatky,10 x 14 inches,"
        California Beach, 1928
      "
Elmer Plummer,13 x 16.75 inches,"
        The Spectre, 1933
      "
Ken Goldman,"36 x 24 inches, acrylic on canvas, signed lower right","
        Studio Life
      "
Hardie Gramatky,8.75 x 11.75 inches,"
        Doppy Sewing, 1959
      "
Emil Kosa Jr.,20 x 28 inches,"
        Boats, San Pedro Harbor, 1946
      "
Tom Fong,20.5 x 28.5 inches,"
        Coit Tower Sunset
      "
Hardie Gramatky,8.75 x 10 inches,"
        Dops Ironing, 1948
      "
Ralph Hulett,14 x 19.5 inches,"
        View of the Grape Vineyards, 1944
      "
Ken Potter,17.5 x 23.75 inches,"
        Bay Bridge, 1960
      "
Hardie Gramatky,7 x 10.5 inches,"
        What the Drums Say, 1946
      "
Phil Dike,17.75 x 23.5 inches,"
        Boats at Aliso
      "
James Hollins Patrick,14.5 x 21.5 inches,"
        Calimesa, (Yucaipa Valley) CA, 1937
      "
Steve Santmyer,20.75 x 28.5 inches,"
        The White Horse
      "
Hardie Gramatky,9.25 x 10 inches,"
        Street Scene in Mazatlan, 1929
      "
Ralph Hulett,19.75 x 26.5 inches,"
        Via Appia
      "
Hardie Gramatky,10.25 x 12 inches,"
        Spanish Dance, 1929
      "
Hardie Gramatky,19.5 x 26 inches,"
        Oregon Ranch in Summer, 1951
      "
Carolyn Lord,21.75 x 29.75 inches,"
        April Roses with Palms
      "
Jade Fon,14 x 20.5 inches,"
        Golden Gate Bridge
      "
Hardie Gramatky,9.5 x 13.5 inches,"
        Setting up the Circus, 1928
      "
Phil Dike,11 x 14 inches,"
        Sunset in the Valley, 1940
      "
Tom Fong,21.5 x 28.75 inches,"
        Floral Abstract
      "
Hardie Gramatky,7.5 x 9 inches,"
        Gracie Mansion at Night, 1941
      "
Stephanie Goldman,21 x 15 inches,"
        Coming Out
      "
Hardie Gramatky,10.25 x 15 inches,"
        Shadows, 1930
      "
Steve Santmyer,29.5 x 21.5 inches,"
        Crystal Cove Around 1960
      "
Stephanie Goldman,29 x 16 inches,"
        Embrace Life
      "
Hardie Gramatky,14 x 19.25 inches,"
        Garden, 1977
      "
Stephanie Goldman,30 x 22 inches,"
        Imagination, E=mc2
      "
Stephanie Goldman,27 x 20 inches,"
        Imagining Bhakti
      "
Hardie Gramatky,18.5 x 26.75 inches,"
        Fence in Westport, 1958
      "
Stephanie Goldman,18 x 14 inches,"
        Tip Cup
      "
Hardie Gramatky,14.25 x 21 inches,"
        Entertaining Monkeys, 1936
      "
Ken Goldman,22 x 22 inches,"
        The Inside Joke
      "
Hardie Gramatky,19 x 23 inches,"
        Acropolis, 1962
      "
Stephanie Goldman,22 x 16 inches,"
        Kendrian
      "
Ken Goldman,22 x 22 inches,"
        New York Construction Squad
      "
Hardie Gramatky,17 x 23 inches,"
        Where Once Greek Gods, 1962
      "
Stephanie Goldman,21 x 15 inches,"
        Majorelle
      "
Millard Sheets,22 x 30 inches,"
        Irish Gypsies, 1971
      "
Ken Goldman,22 x 22 inches,"
        Homage to Hokusai, The Old Man Crazy About Drawing
      "
Hardie Gramatky,11 x 15 inches,"
        Pathways, 1931
      "
Art Riley,21.75 x 29.25 inches,"
        At Work
      "
Ken Goldman,22 x 22 inches,"
        Homage to Bonnard
      "
Hardie Gramatky,11.5 x 25 inches,"
        Brown Phantom of the Alders, 1953
      "
Stephanie Goldman,18 x 10 inches,"
        The Artist
      "
John Bohnenberger,21 x 29 inches,"
        Fruit, Wine, and Flowers
      "
Ken Goldman,30 x 22 inches,"
        Line and Space #4
      "
Hardie Gramatky,17 x 25 inches,"
        Nocturne, (Westport), 1968
      "
Emil Kosa Jr.,19.25 x 27.25 inches,"
        Train Yard
      "
Sid Bingham,29.5 x 21.75 inches,"
        Evening with the Duomo, Milan Cathedral
      "
Art Riley,22 x 30 inches,"
        Storm Debris, Carmel
      "
Carolyn Lord,22 x 29.75 inches,"
        Arroyo Mocho, 1986
      "
Stephanie Goldman,30 x 22 inches,"
        Ode to Dirac, Between Ecstasy and Fear
      "
Hardie Gramatky,18.75 x 25.5 inches,"
        Rowboat Lake, (Westport), 1960
      "
Milford Zornes,22.5 x 28.75 inches,"
        Quartana Place, Vermont, 1971
      "
Sid Bingham,23 x 15.75 inches,"
        Discovery, Queen Anne's Cottage
      "
Hardie Gramatky,14.75 x 19.5 inches,"
        Field Trials, 1954
      "
Sid Bingham,20.75 x 28.5 inches,"
        Anticipation, Santa Anita Race Track
      "
Hardie Gramatky,10 x 14 inches,"
        Old Pavilion, Nyack, 1938
      "
Hardie Gramatky,12 x 17 inches,"
        East River #1, 1938
      "
Hardie Gramatky,13.5 x 19 inches,"
        Charleston, 1938
      "
Dong Kingman,16.5 x 20.75 inches,"
        Park Scene, 1945
      "
Milford Zornes,22 x 28 inches,"
        At El Cobano, Manzanillo, Mexico, 1971
      "
Carolyn Lord,15 x 22.25 inches,"
        Mammoth Sunflower with Black Manukka
      "
Milford Zornes,22 x 30.25 inches,"
        The River, 1982
      "
Carolyn Lord,15 x 22 inches,"
        Summer's Wake
      "
James Green,22 x 30 inches,"
        Painting the Hull
      "
Ken Goldman,13.75 x 19.5 inches,"
        Tavarua Palapa
      "
Richmond Kelsey,13.5 x 18.5 inches,"
        Woodland Scene
      "
Ken Potter,22 x 30 inches,"
        Penasco, NM, 1997
      "
Ken Potter,22 x 30 inches,"
        Indio, 1987
      "
Ken Potter,19 x 25 inches,"
        Monterey Pier, 1949
      "
Steve Santmyer,14.5 x 21.75 inches,"
        Kona Beach Shack
      "
Steve Santmyer,14.5 x 22 inches,"
        Kailua Village
      "
Steve Santmyer,121.5 x 14.75 inches,"
        Crystal Cove, Looking South
      "
Steve Santmyer,121.5 x 14.75 inches,"
        Crystal Cove, Looking North
      "
Duval Eliot,22.5 x 17 inches,"
        Figurative Nude #3
      "
Duval Eliot,22.5 x 16.75 inches,"
        Figurative Nude #6
      "
Duval Eliot,22.5 x 16.75 inches,"
        Figurative Nude #20
      "
Duval Eliot,22.5 x 16.25 inches,"
        Figurative Nude #23
      "
Duval Eliot,16.25 x 21.75 inches,"
        Figurative Nude #8
      "
Duval Eliot,16 x 21 inches,"
        Figurative Nude #9
      "
Duval Eliot,16 x 21 inches,"
        Figurative Nude #10
      "
Duval Eliot,17 x 22.25 inches,"
        Figurative Nude #12
      "
Duval Eliot,17 x 22 inches,"
        Figurative Nude #14
      "
Duval Eliot,17 x 22 inches,"
        Figurative Nude #22
      "
George James,16 x 23.5 inches,"
        Dockside, Newport Beach, c. 1952
      "
George James,12 x 16 inches,"
        High & Dry
      "
Art Riley,21 x 28.75 inches,"
        Surf at 17 Mile Drive, Pebble Beach
      "
Betsy Dillard Stroud,21 x 29.75 inches,"
        Triple Entente
      "
Duval Eliot,10 x 13.75 inches,"
        Yosemite Meadows, 1946
      "
Ed Kelly,19.5 x 24.75 inches,"
        A New Coat
      "
Ed Kelly,14 x 21.5 inches,"
        Palm Desert, California
      "
Ken Goldman,21.75 x 22.5 inches,"
        Free Flight
      "
Ken Goldman,22.25 x 22.5 inches,"
        Morning Shadows
      "
Ralph Hulett,21.5 x 29 inches,"
        Rice Planting
      "
Carolyn Lord,22 x 29.5 inches,"
        Barking Lilies, 1983
      "
Carolyn Lord,21.75 x 30 inches,"
        Grazing Clouds, 1987
      "
Carolyn Lord,22 x 29.5 inches,"
        Harry's Bench, 1984
      "
Carolyn Lord,22 x 29.75 inches,"
        Santa Maria Shadows, 1983
      "
Gerald Brommer,14.75 x 20 inches,"
        Market Scene
      "
Gerald Brommer,14.75 x 22 inches,"
        Palms
      "
Gerald Brommer,15 x 22 inches,"
        The Wharf, c. 1950
      "
Betsy Dillard Stroud,22 x 30 inches,"
        Oceanic Symphony
      "
Shuang Li,12 x 18 inches,"
        Morning at Shelter Island
      "
Ken Potter,22 x 30 inches,"
        Southern Desert View, 1997
      "
Steve Santmyer,21.25 x 28.5 inches,"
        Main Beach, Laguna Beach
      "
Ed Kelly,14.25 x 21.5 inches,"
        Newport Beach, Balboa Island
      "
Ken Goldman,22 x 21.75 inches,"
        The Inside Joke II
      "
Steve Santmyer,14.25 x 20.5 inches,"
        Balboa Pavilion
      "
Steve Santmyer,14.25 x 21 inches,"
        Balboa Ferry
      "
Steve Santmyer,14 x 20.75 inches,"
        Shake Shack, Crystal Cove Around 1960
      "
Steve Santmyer,21 x 29.5 inches,"
        Farm Outside Bishop, CA
      "
Ralph Hulett,26.75 x 19.75 inches,"
        Titus Canyon, 1949
      "
Jack Laycox,20.75 x 29 inches,"
        Chop Suey, Chinatown
      "
Ken Potter,22 x 30 inches,"
        Hutchinson's Late Afternoon, 1974
      "
Art Riley,22 x 30 inches,"
        Early Morning Angler's at Pebble Beach
      "
Ed Kelly,21.25 x 29 inches,"
        Morning Stroll
      "
Ed Kelly,21.5 x 29 inches,"
        Santa Fe
      "
Vernon Nye,14 x 21 inches,"
        The Little Alaskan Outpost, Prince of Wales Island
      "
Steve Santmyer,14.25 x 21 inches,"
        Building the Main Beach Pier, Laguna Beach, c. 1920s
      "
Carolyn Lord,21.75 x 29.75 inches,"
        Mown Hay in Ojai, 1990
      "
Steve Santmyer,14 x 21.5 inches,"
        Lawn Bowling, Laguna Beach
      "
Steve Santmyer,14 x 21.75 inches,"
        Broadway and P.C.H., Laguna Beach
      "
Ken Potter,30 x 22 inches,"
        Hyde Street, 1991
      "
Hardie Gramatky,21 x 14.25 inches,"
        Brief Encounter, c. 1930s
      "
Lee Blair,20.5 x 16.75 inches,"
        Sunbathing on the Rooftops, c. 1930s
      "
Ken Potter,22 x 30 inches,"
        San Francisco and the Golden Gate, 2006
      "
Millard Sheets,22 x 30 inches,"
        Diamond Head, Hawaii, c. 1950s
      "
Hardie Gramatky,9 x 11 inches,"
        Coutainville, France, 1976
      "
Millard Sheets,"18.25 x 22.25 inches, oil on canvas, signed lower right","
        Woods, 1928
      "
Hardie Gramatky,19.25 x 27 inches,"
        Holiday, (Westport), 1976
      "
Ken Potter,22 x 30 inches,"
        Morning Old St. Hilary's, 2000
      "
Art Riley,21.5 x 29 inches,"
        Pebble Beach Morning
      "
Millard Sheets,21.25 x 29.5 inches,"
        Statue of Liberty, New York Harbor, 1958
      "
James Green,14.75 x 21.75 inches,"
        Circus Elephants
      "
Rex Brandt,19.75 x 13.25 inches,"
        Orange County, 1968
      "
Sid Bingham,23.75 x 17.75 inches,"
        Milan, Italy
      "
Emil Kosa Jr.,"20 x 30 inches, oil on board, signed lower right","
        Lobos, Carmel, c. 1940s
      "
Frank J. Gavencky,"18 x 24 inches, oil on panel, signed lower right","
        Santa Fe Mailboxes
      "
Ken Potter,22 x 30 inches,"
        Grant & Washington, San Francisco, 1984
      "
Ken Potter,22 x 30 inches,"
        Alcatraz, 1979
      "
Hardie Gramatky,17.75 x 13.25 inches,"
        Revolt of Mother, 1948
      "
Roscoe Carver,14.5 x 20.5 inches,"
        Santa Cruz, c. 1930s
      "
Ken Potter,22 x 30 inches,"
        Monterey Pier, 1999
      "
Sid Bingham,20.75 x 28.75 inches,"
        Will Rogers State Beach, Late Summer
      "
Ken Potter,22 x 30 inches,"
        Hermosa Beach, 2000
      "
Frederic Whitaker,22 x 26 inches,"
        San Carlos Bay, c. 1950s
      "
Hardie Gramatky,20.5 x 27 inches,"
        Farm Visitors, (Westport), 1971
      "
Art Riley,21 x 27.5 inches,"
        San Pedro Harbor, 1962
      "
Lee Blair,14.5 x 20 inches,"
        Rakes Progress, c. 1930s
      "
Ralph Hulett,21.5 x 29.5 inches,"
        Morning in Alamos, c. 1940s
      "
Millard Sheets,"24 x 30 inches, oil on panel, signed lower right","
        L.A. River, 1927
      "
Hardie Gramatky,19 x 14 inches,"
        Refuge (Red Cross), 1937
      "
Emil Kosa Jr.,"25 x 29 inches, oil on canvas, signed lower left","
        Telegraph Hill, c. 1928
      "
Ken Potter,22 x 30 inches,"
        Balboa Bay, 2005
      "
Hardie Gramatky,12.5 x 18.5 inches,"
        Dogwood in the Park, (Westport), 1966
      "
Ken Potter,22 x 30 inches,"
        Zurich & Limmat from Quaibrucke, Switzerland, 1993
      "
